Subject ID: 03_17
Date and time: 11/26/2013 14:07:38

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	left	1	visible	1	1173	14:11:33
1	2	left	4	visible	2	1054	14:11:48
1	3	left	4	visible	3	953	14:11:59
1	4	left	4	visible	4	729	14:12:09
1	5	left	1	visible	5	869	14:12:20
1	6	left	2	visible	6	864	14:12:29
1	7	left	2	visible	7	707	14:12:39
1	8	left	2	visible	8	679	14:12:50
1	9	left	4	visible	9	644	14:13:00
1	10	left	2	visible	10	691	14:13:09
1	11	left	1	visible	11	752	14:13:18
1	12	left	1	visible	12	531	14:13:27
1	13	left	4	visible	13	872	14:13:37
1	14	left	2	visible	14	797	14:13:48
1	15	left	4	visible	15	787	14:13:57
1	16	left	1	visible	16	761	14:14:06
1	17	left	1	visible	17	743	14:14:16
1	18	left	1	visible	18	695	14:14:24
1	19	left	2	visible	19	593	14:14:33
1	20	left	4	visible	20	511	14:14:41
1	21	left	1	visible	21	581	14:14:50
1	22	left	2	visible	22	511	14:14:58
1	23	left	2	visible	23	758	14:15:06
1	24	left	4	visible	24	746	14:15:15
2	1	left	1	hidden	25	1106	14:17:00
2	2	left	2	hidden	26	606	14:17:13
2	3	left	4	hidden	27	708	14:17:27
2	4	left	1	hidden	28	612	14:17:39
2	5	left	1	hidden	29	623	14:17:51
2	6	left	4	hidden	30	1693	14:18:05
2	7	left	2	hidden	Lifted hand (load)
2	7	left	2	hidden	31	734	14:18:17
2	8	left	4	hidden	32	1106	14:18:28
2	9	left	2	hidden	33	924	14:18:40
2	10	left	1	hidden	34	723	14:18:51
2	11	left	4	hidden	35	1352	14:19:03
2	12	left	4	hidden	36	1745	14:19:15
2	13	left	4	hidden	37	1653	14:19:27
2	14	left	2	hidden	38	705	14:19:39
2	15	left	1	hidden	39	728	14:19:51
2	16	left	2	hidden	40	884	14:20:03
2	17	left	2	hidden	41	698	14:20:14
2	18	left	1	hidden	42	723	14:20:25
2	19	left	1	hidden	43	554	14:20:37
2	20	left	2	hidden	44	808	14:20:48
2	21	left	4	hidden	45	2506	14:21:00
2	22	left	4	hidden	46	1704	14:21:13
2	23	left	2	hidden	Lifted hand (load)
2	23	left	2	hidden	47	798	14:21:25
2	24	left	1	hidden	48	748	14:21:38
3	1	right	2	hidden	49	947	14:33:46
3	2	right	2	hidden	50	714	14:33:58
3	3	right	2	hidden	51	649	14:34:11
3	4	right	4	hidden	52	691	14:34:22
3	5	right	4	hidden	53	772	14:34:34
3	6	right	1	hidden	54	795	14:34:45
3	7	right	2	hidden	55	610	14:34:57
3	8	right	1	hidden	56	769	14:35:07
3	9	right	4	hidden	57	758	14:35:18
3	10	right	2	hidden	58	655	14:35:28
3	11	right	1	hidden	59	633	14:35:38
3	12	right	4	hidden	60	854	14:35:49
3	13	right	2	hidden	61	715	14:35:59
3	14	right	1	hidden	62	783	14:36:09
3	15	right	2	hidden	63	726	14:36:19
3	16	right	1	hidden	64	736	14:36:31
3	17	right	1	hidden	65	859	14:36:41
3	18	right	4	hidden	66	816	14:36:51
3	19	right	4	hidden	67	880	14:37:04
3	20	right	1	hidden	68	748	14:37:14
3	21	right	2	hidden	69	730	14:37:25
3	22	right	4	hidden	70	991	14:37:35
3	23	right	1	hidden	71	928	14:37:46
3	24	right	4	hidden	72	827	14:37:57
4	1	right	2	visible	73	592	14:38:42
4	2	right	1	visible	74	613	14:38:50
4	3	right	4	visible	75	650	14:38:59
4	4	right	2	visible	76	954	14:39:07
4	5	right	1	visible	77	574	14:39:15
4	6	right	1	visible	78	551	14:39:23
4	7	right	4	visible	79	723	14:39:37
4	8	right	4	visible	80	671	14:39:45
4	9	right	2	visible	81	699	14:39:54
4	10	right	4	visible	82	728	14:40:02
4	11	right	2	visible	83	534	14:40:10
4	12	right	1	visible	84	726	14:40:19
4	13	right	2	visible	85	698	14:40:27
4	14	right	4	visible	86	808	14:40:35
4	15	right	4	visible	87	714	14:40:44
4	16	right	1	visible	88	844	14:40:52
4	17	right	4	visible	89	669	14:41:01
4	18	right	4	visible	90	707	14:41:10
4	19	right	2	visible	91	834	14:41:19
4	20	right	1	visible	92	694	14:41:29
4	21	right	1	visible	93	719	14:41:38
4	22	right	2	visible	94	869	14:41:47
4	23	right	2	visible	95	670	14:41:56
4	24	right	1	visible	96	718	14:42:05
