Subject ID: 03_04
Date and time: 03/18/2013 14:00:32

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	4	hidden	1	1231	14:03:34
1	2	right	1	hidden	2	877	14:04:51
1	3	right	4	hidden	Lifted hand (load)
1	3	right	4	hidden	Lifted hand (load)
1	3	right	4	hidden	Lifted hand (load)
1	3	right	4	hidden	Lifted hand (load)
1	3	right	4	hidden	Lifted hand (load)
1	3	right	4	hidden	3	807	14:06:18
1	4	right	2	hidden	4	880	14:06:31
1	5	right	1	hidden	5	780	14:06:44
1	6	right	1	hidden	6	675	14:06:57
1	7	right	1	hidden	7	1039	14:07:31
1	8	right	2	hidden	8	872	14:07:43
1	9	right	1	hidden	9	615	14:07:55
1	10	right	4	hidden	10	780	14:08:07
1	11	right	2	hidden	11	699	14:08:18
1	12	right	2	hidden	12	594	14:08:29
1	13	right	4	hidden	13	844	14:08:40
1	14	right	4	hidden	14	848	14:08:51
1	15	right	1	hidden	15	802	14:09:03
1	16	right	2	hidden	16	847	14:09:16
1	17	right	4	hidden	17	780	14:09:28
1	18	right	2	hidden	18	663	14:09:40
1	19	right	4	hidden	19	1976	14:09:54
1	20	right	4	hidden	20	1043	14:10:05
1	21	right	2	hidden	21	747	14:10:17
1	22	right	1	hidden	22	3034	14:10:30
1	23	right	2	hidden	23	746	14:10:41
1	24	right	1	hidden	24	729	14:10:52
2	1	right	2	visible	25	544	14:13:06
2	2	right	4	visible	26	823	14:13:15
2	3	right	2	visible	27	476	14:13:23
2	4	right	4	visible	28	519	14:13:44
2	5	right	2	visible	29	508	14:13:53
2	6	right	1	visible	30	502	14:14:02
2	7	right	2	visible	31	423	14:14:10
2	8	right	1	visible	32	460	14:14:18
2	9	right	4	visible	33	460	14:14:26
2	10	right	2	visible	34	466	14:14:33
2	11	right	4	visible	35	516	14:14:41
2	12	right	4	visible	Lifted hand (load)
2	12	right	4	visible	36	422	14:15:16
2	13	right	1	visible	37	433	14:15:23
2	14	right	1	visible	38	483	14:15:32
2	15	right	4	visible	39	490	14:15:41
2	16	right	2	visible	40	441	14:15:49
2	17	right	4	visible	41	425	14:15:57
2	18	right	1	visible	42	491	14:16:05
2	19	right	4	visible	43	591	14:16:15
2	20	right	1	visible	44	510	14:16:24
2	21	right	1	visible	45	425	14:16:31
2	22	right	2	visible	46	469	14:16:41
2	23	right	1	visible	47	489	14:16:48
2	24	right	2	visible	48	515	14:16:57
3	1	left	2	hidden	49	780	14:28:28
3	2	left	2	hidden	50	650	14:28:48
3	3	left	4	hidden	51	737	14:29:19
3	4	left	1	hidden	52	665	14:29:35
3	5	left	4	hidden	53	843	14:29:48
3	6	left	1	hidden	54	607	14:30:00
3	7	left	1	hidden	55	662	14:30:21
3	8	left	4	hidden	56	789	14:30:33
3	9	left	2	hidden	57	573	14:30:45
3	10	left	1	hidden	58	616	14:30:56
3	11	left	1	hidden	59	Lifted wrong hand (movement )
3	11	left	1	hidden	60	946	14:31:31
3	12	left	1	hidden	Lifted hand (load)
3	12	left	1	hidden	Lifted hand (load)
3	12	left	1	hidden	61	673	14:31:46
3	13	left	2	hidden	62	532	14:31:57
3	14	left	4	hidden	63	643	14:32:09
3	15	left	4	hidden	64	580	14:32:22
3	16	left	1	hidden	65	463	14:32:59
3	17	left	2	hidden	66	Lifted wrong hand (movement )
3	17	left	2	hidden	Lifted hand (load)
3	17	left	2	hidden	67	510	14:33:24
3	18	left	2	hidden	68	605	14:33:44
3	19	left	2	hidden	69	587	14:33:56
3	20	left	4	hidden	70	897	14:34:10
3	21	left	2	hidden	71	608	14:34:22
3	22	left	4	hidden	72	629	14:34:32
3	23	left	4	hidden	73	949	14:34:44
3	24	left	1	hidden	74	Lifted wrong hand (movement )
3	24	left	1	hidden	Lifted hand (load)
3	24	left	1	hidden	75	865	14:35:21
4	1	left	2	visible	76	417	14:35:59
4	2	left	2	visible	77	519	14:36:12
4	3	left	4	visible	78	405	14:36:21
4	4	left	4	visible	79	458	14:36:29
4	5	left	1	visible	80	489	14:36:38
4	6	left	2	visible	81	469	14:36:48
4	7	left	1	visible	82	441	14:36:57
4	8	left	4	visible	83	480	14:37:08
4	9	left	4	visible	84	512	14:37:16
4	10	left	2	visible	85	Lifted wrong hand (movement )
4	10	left	2	visible	Lifted hand (load)
4	10	left	2	visible	86	543	14:37:46
4	11	left	2	visible	87	428	14:37:54
4	12	left	4	visible	88	399	14:38:02
4	13	left	2	visible	89	451	14:38:11
4	14	left	1	visible	90	689	14:39:31
4	15	left	2	visible	91	394	14:39:41
4	16	left	4	visible	92	421	14:39:49
4	17	left	1	visible	93	564	14:39:58
4	18	left	1	visible	94	429	14:40:08
4	19	left	1	visible	95	506	14:40:17
4	20	left	1	visible	96	469	14:40:24
4	21	left	2	visible	97	478	14:40:32
4	22	left	4	visible	98	464	14:40:40
4	23	left	4	visible	99	442	14:40:46
4	24	left	1	visible	100	495	14:40:55
