Subject ID: 03_34
Date and time: 11/04/2014 10:38:39

Block	Trial	Hand	Cube	Vis	Conf	Pulse	RT	Time
1	1	right	2	visible	n	1	933	10:56:05
1	2	right	4	visible	+	2	947	10:56:18
1	3	right	2	visible	+	3	861	10:56:36
1	4	right	2	visible	+	4	949	10:56:49
1	5	right	1	visible	+	5	919	10:57:03
1	6	right	2	visible	+	6	922	10:57:13
1	7	right	1	visible	+	7	955	10:57:24
1	8	right	1	visible	+	8	823	10:57:35
1	9	right	2	visible	+	9	789	10:57:46
1	10	right	1	visible	+	10	593	10:57:57
1	11	right	4	visible	+	11	655	10:58:08
1	12	right	1	visible	+	12	582	10:58:19
1	13	right	4	visible	+	13	742	10:58:29
1	14	right	2	visible	+	14	748	10:58:39
1	15	right	1	visible	+	15	737	10:58:54
1	16	right	4	visible	+	16	749	10:59:05
1	17	right	4	visible	+	17	562	10:59:17
1	18	right	2	visible	+	18	655	10:59:27
1	19	right	2	visible	+	19	653	10:59:37
1	20	right	4	visible	+	20	597	10:59:48
1	21	right	4	visible	+	21	572	11:00:00
1	22	right	1	visible	+	22	856	11:00:12
1	23	right	4	visible	+	23	653	11:00:24
1	24	Final check: +
1	24	right	1	visible	n	24	717	11:00:35
2	1	right	4	hidden	n	25	845	11:01:13
2	2	right	4	hidden	+	26	778	11:01:28
2	3	right	4	hidden	-	27	863	11:01:44
2	4	right	2	hidden	+	28	880	11:01:58
2	5	right	1	hidden	+	29	807	11:02:13
2	6	right	2	hidden	+	30	672	11:02:27
2	7	right	1	hidden	+	31	700	11:02:43
2	8	right	1	hidden	+	32	810	11:03:01
2	9	right	4	hidden	+	33	3168	11:03:16
2	10	right	2	hidden	-	34	692	11:03:44
2	11	right	1	hidden	+	35	768	11:03:58
2	12	right	1	hidden	+	36	684	11:04:11
2	13	right	1	hidden	+	37	648	11:04:26
2	14	right	2	hidden	+	38	773	11:04:41
2	15	right	1	hidden	+	39	762	11:04:58
2	16	right	2	hidden	+	40	710	11:05:11
2	17	right	4	hidden	+	41	774	11:05:26
2	18	right	4	hidden	+	42	822	11:05:41
2	19	right	4	hidden	+	43	695	11:05:54
2	20	right	2	hidden	+	44	615	11:06:07
2	21	right	2	hidden	+	45	671	11:06:20
2	22	right	4	hidden	+	46	783	11:06:35
2	23	right	1	hidden	+	47	685	11:06:47
2	24	right	2	hidden	+	48	664	11:07:00
2	25	right	4	hidden	+	49	764	11:07:13
2	26	Final check: +
2	26	right	2	hidden	n	50	660	11:07:26
3	1	left	1	visible	n	51	669	11:14:26
3	2	left	1	visible	+	52	567	11:14:38
3	3	left	2	visible	+	53	649	11:14:51
3	4	left	4	visible	-	54	815	11:15:16
3	5	left	2	visible	+	55	721	11:15:28
3	6	left	4	visible	+	56	578	11:15:40
3	7	left	2	visible	+	57	741	11:15:52
3	8	left	4	visible	+	58	618	11:16:03
3	9	left	2	visible	+	59	660	11:16:14
3	10	left	1	visible	+	60	685	11:16:25
3	11	left	1	visible	+	61	602	11:16:36
3	12	left	4	visible	+	62	675	11:16:48
3	13	left	2	visible	+	63	640	11:16:58
3	14	left	2	visible	+	64	679	11:17:09
3	15	left	4	visible	+	65	678	11:17:20
3	16	left	4	visible	+	66	730	11:17:31
3	17	left	2	visible	+	67	669	11:17:41
3	18	left	1	visible	+	68	722	11:17:52
3	19	left	4	visible	+	69	627	11:18:04
3	20	left	1	visible	+	70	677	11:18:15
3	21	left	1	visible	+	71	678	11:18:26
3	22	left	2	visible	+	72	608	11:18:37
3	23	left	4	visible	+	73	659	11:18:49
3	24	left	1	visible	+	74	653	11:19:01
3	25	Final check: +
3	25	left	4	visible	n	75	614	11:19:12
4	1	left	4	hidden	n	76	730	11:20:01
4	2	left	4	hidden	+	77	697	11:20:19
4	3	left	4	hidden	+	78	717	11:20:34
4	4	left	4	hidden	+	79	700	11:20:53
4	5	left	2	hidden	+	80	676	11:21:07
4	6	left	1	hidden	+	81	754	11:21:22
4	7	left	2	hidden	+	82	649	11:21:37
4	8	left	1	hidden	+	83	682	11:21:52
4	9	left	2	hidden	+	84	645	11:22:06
4	10	left	4	hidden	+	85	653	11:22:19
4	11	left	2	hidden	+	86	750	11:22:32
4	12	left	4	hidden	+	87	683	11:22:46
4	13	left	2	hidden	+	88	770	11:22:58
4	14	left	2	hidden	+	89	656	11:23:11
4	15	left	4	hidden	+	90	547	11:23:25
4	16	left	2	hidden	+	91	638	11:23:38
4	17	left	1	hidden	+	92	531	11:23:51
4	18	left	1	hidden	+	93	606	11:24:05
4	19	left	4	hidden	+	94	553	11:24:18
4	20	left	1	hidden	+	95	640	11:24:31
4	21	left	1	hidden	+	96	549	11:24:44
4	22	left	1	hidden	+	97	601	11:24:57
4	23	left	2	hidden	+	98	645	11:25:11
4	24	Final check: +
4	24	left	1	hidden	n	99	642	11:25:23
