Subject ID: 03_19
Date and time: 12/05/2013 12:33:57

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	left	2	hidden	1	2104	12:37:25
1	2	left	4	hidden	2	916	12:37:39
1	3	left	4	hidden	3	748	12:37:51
1	4	left	4	hidden	4	616	12:38:30
1	5	left	2	hidden	5	626	12:39:02
1	6	left	2	hidden	6	615	12:39:14
1	7	left	1	hidden	7	681	12:39:25
1	8	left	1	hidden	8	601	12:39:38
1	9	left	2	hidden	9	595	12:39:51
1	10	left	1	hidden	10	708	12:40:05
1	11	left	1	hidden	11	572	12:40:17
1	12	left	1	hidden	12	607	12:40:29
1	13	left	4	hidden	13	519	12:40:42
1	14	left	1	hidden	14	756	12:40:54
1	15	left	1	hidden	15	999	12:41:23
1	16	left	2	hidden	16	756	12:41:37
1	17	left	1	hidden	17	546	12:41:48
1	18	left	4	hidden	18	947	12:42:01
1	19	left	2	hidden	19	686	12:42:12
1	20	left	2	hidden	20	785	12:42:23
1	21	left	2	hidden	21	562	12:42:36
1	22	left	4	hidden	22	586	12:42:48
1	23	left	4	hidden	23	587	12:43:00
1	24	left	4	hidden	24	812	12:43:11
2	1	left	4	visible	25	661	12:43:52
2	2	left	4	visible	26	663	12:44:01
2	3	left	2	visible	27	639	12:44:10
2	4	left	2	visible	28	598	12:44:21
2	5	left	1	visible	29	654	12:44:30
2	6	left	1	visible	30	468	12:44:41
2	7	left	4	visible	31	530	12:44:50
2	8	left	1	visible	32	464	12:44:59
2	9	left	2	visible	33	482	12:45:08
2	10	left	1	visible	34	479	12:45:17
2	11	left	2	visible	35	502	12:45:26
2	12	left	1	visible	36	510	12:45:35
2	13	left	4	visible	37	437	12:45:44
2	14	left	4	visible	38	374	12:45:53
2	15	left	1	visible	39	523	12:46:01
2	16	left	2	visible	40	440	12:46:10
2	17	left	4	visible	41	448	12:46:19
2	18	left	2	visible	42	454	12:46:28
2	19	left	1	visible	43	474	12:46:36
2	20	left	2	visible	44	470	12:46:45
2	21	left	4	visible	45	441	12:46:55
2	22	left	4	visible	46	497	12:47:03
2	23	left	2	visible	47	432	12:47:12
2	24	left	1	visible	48	504	12:47:20
3	1	right	4	hidden	49	551	12:58:50
3	2	right	1	hidden	50	563	12:59:03
3	3	right	2	hidden	51	594	12:59:15
3	4	right	1	hidden	52	624	12:59:25
3	5	right	2	hidden	53	635	12:59:36
3	6	right	4	hidden	54	568	12:59:47
3	7	right	1	hidden	55	676	12:59:57
3	8	right	4	hidden	56	700	13:00:07
3	9	right	4	hidden	57	811	13:00:17
3	10	right	2	hidden	58	659	13:00:27
3	11	right	2	hidden	59	591	13:00:37
3	12	right	4	hidden	60	681	13:00:50
3	13	right	1	hidden	Lifted hand (load)
3	13	right	1	hidden	Lifted hand (load)
3	13	right	1	hidden	61	544	13:01:00
3	14	right	2	hidden	62	594	13:01:11
3	15	right	2	hidden	Lifted hand (load)
3	15	right	2	hidden	63	686	13:01:21
3	16	right	1	hidden	64	685	13:01:31
3	17	right	4	hidden	65	616	13:01:41
3	18	right	2	hidden	66	575	13:01:50
3	19	right	4	hidden	67	1101	13:01:59
3	20	right	2	hidden	68	654	13:02:08
3	21	right	1	hidden	69	712	13:02:17
3	22	right	1	hidden	70	916	13:02:28
3	23	right	1	hidden	71	574	13:02:37
3	24	right	4	hidden	72	695	13:02:46
4	1	right	1	visible	73	1443	13:03:39
4	2	right	1	visible	74	658	13:03:47
4	3	right	1	visible	75	576	13:03:55
4	4	right	1	visible	76	503	13:04:02
4	5	right	4	visible	77	500	13:04:11
4	6	right	4	visible	78	477	13:04:19
4	7	right	1	visible	79	504	13:04:27
4	8	right	4	visible	80	454	13:04:39
4	9	right	2	visible	81	502	13:04:47
4	10	right	2	visible	82	460	13:04:56
4	11	right	4	visible	83	539	13:05:04
4	12	right	1	visible	Lifted hand (load)
4	12	right	1	visible	Lifted hand (load)
4	12	right	1	visible	84	610	13:05:39
4	13	right	2	visible	85	438	13:05:47
4	14	right	2	visible	86	554	13:05:58
4	15	right	4	visible	Lifted hand (load)
4	15	right	4	visible	87	592	13:06:08
4	16	right	4	visible	88	491	13:06:19
4	17	right	1	visible	89	573	13:06:28
4	18	right	2	visible	90	533	13:06:36
4	19	right	1	visible	91	496	13:06:43
4	20	right	2	visible	92	421	13:06:51
4	21	right	4	visible	93	445	13:06:58
4	22	right	2	visible	94	521	13:07:06
4	23	right	2	visible	95	495	13:07:14
4	24	right	4	visible	96	517	13:07:23
