Subject ID: 03_21
Date and time: 12/16/2013 13:47:39

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	4	visible	Lifted hand (view)
1	1	right	4	visible	Lifted hand (view)
1	1	right	4	visible	Lifted hand (load)
1	1	right	4	visible	1	536	13:50:41
1	2	right	2	visible	2	533	13:50:48
1	3	right	4	visible	3	490	13:50:56
1	4	right	2	visible	4	407	13:51:04
1	5	right	1	visible	5	500	13:51:11
1	6	right	1	visible	6	414	13:51:19
1	7	right	2	visible	7	434	13:51:26
1	8	right	4	visible	8	426	13:51:34
1	9	right	2	visible	9	358	13:51:41
1	10	right	4	visible	10	394	13:51:48
1	11	right	1	visible	11	341	13:51:56
1	12	right	1	visible	12	382	13:52:06
1	13	right	2	visible	13	422	13:52:14
1	14	right	4	visible	14	355	13:52:21
1	15	right	4	visible	15	398	13:52:30
1	16	right	1	visible	16	386	13:52:38
1	17	right	2	visible	17	340	13:52:45
1	18	right	2	visible	18	369	13:52:52
1	19	right	1	visible	19	421	13:52:59
1	20	right	2	visible	20	350	13:53:06
1	21	right	1	visible	21	383	13:53:14
1	22	right	4	visible	22	356	13:53:21
1	23	right	1	visible	23	355	13:53:28
1	24	right	4	visible	24	329	13:53:36
2	1	right	2	hidden	25	578	13:55:10
2	2	right	1	hidden	26	630	13:55:20
2	3	right	4	hidden	27	547	13:55:31
2	4	right	1	hidden	28	508	13:55:40
2	5	right	4	hidden	29	557	13:55:50
2	6	right	1	hidden	30	503	13:56:00
2	7	right	4	hidden	31	917	13:56:10
2	8	right	4	hidden	32	568	13:56:23
2	9	right	2	hidden	33	532	13:56:34
2	10	right	4	hidden	34	559	13:56:44
2	11	right	2	hidden	35	603	13:56:54
2	12	right	4	hidden	36	624	13:57:03
2	13	right	1	hidden	37	546	13:57:13
2	14	right	1	hidden	38	731	13:57:22
2	15	right	2	hidden	39	571	13:57:32
2	16	right	1	hidden	40	507	13:57:41
2	17	right	1	hidden	41	492	13:57:51
2	18	right	4	hidden	42	539	13:58:01
2	19	right	1	hidden	43	562	13:58:21
2	20	right	2	hidden	44	859	13:58:30
2	21	right	4	hidden	45	545	13:58:39
2	22	right	2	hidden	46	539	13:58:48
2	23	right	2	hidden	47	521	13:58:56
2	24	right	2	hidden	48	569	13:59:05
3	1	left	4	hidden	49	616	14:08:20
3	2	left	4	hidden	50	522	14:08:30
3	3	left	1	hidden	51	493	14:08:44
3	4	left	2	hidden	52	474	14:08:58
3	5	left	1	hidden	53	464	14:09:08
3	6	left	2	hidden	54	432	14:09:20
3	7	left	1	hidden	55	471	14:09:30
3	8	left	2	hidden	56	579	14:09:43
3	9	left	4	hidden	57	482	14:09:54
3	10	left	4	hidden	58	463	14:10:04
3	11	left	1	hidden	59	424	14:10:13
3	12	left	4	hidden	60	403	14:10:26
3	13	left	1	hidden	61	468	14:10:39
3	14	left	2	hidden	62	515	14:10:49
3	15	left	4	hidden	63	421	14:10:59
3	16	left	1	hidden	64	406	14:11:09
3	17	left	2	hidden	65	426	14:11:20
3	18	left	2	hidden	66	462	14:11:31
3	19	left	4	hidden	67	600	14:11:41
3	20	left	4	hidden	68	446	14:11:52
3	21	left	2	hidden	69	402	14:12:02
3	22	left	1	hidden	70	428	14:12:13
3	23	left	2	hidden	71	540	14:12:24
3	24	left	1	hidden	72	402	14:12:35
4	1	left	4	visible	73	402	14:13:08
4	2	left	1	visible	74	677	14:13:16
4	3	left	1	visible	75	401	14:13:25
4	4	left	2	visible	76	372	14:13:32
4	5	left	2	visible	77	349	14:13:39
4	6	left	2	visible	78	321	14:13:47
4	7	left	1	visible	79	313	14:13:55
4	8	left	4	visible	80	314	14:14:02
4	9	left	4	visible	81	325	14:14:10
4	10	left	1	visible	82	372	14:14:16
4	11	left	2	visible	83	293	14:14:23
4	12	left	1	visible	84	308	14:14:30
4	13	left	1	visible	85	318	14:14:37
4	14	left	1	visible	86	317	14:14:44
4	15	left	4	visible	87	347	14:14:52
4	16	left	2	visible	88	347	14:14:59
4	17	left	2	visible	89	346	14:15:05
4	18	left	4	visible	90	320	14:15:13
4	19	left	4	visible	91	302	14:15:19
4	20	left	1	visible	92	364	14:15:26
4	21	left	2	visible	93	304	14:15:33
4	22	left	4	visible	94	288	14:15:39
4	23	left	4	visible	95	318	14:15:46
4	24	left	2	visible	96	262	14:15:52
