Subject ID: 03_33
Date and time: 12/12/2014 12:23:11

Block	Trial	Hand	Cube	Vis	Conf	Pulse	RT	Time
1	1	right	4	hidden	n	1	798	12:23:37
1	2	right	1	hidden	+	2	875	12:23:50
1	3	right	2	hidden	+	3	11281	12:24:06
1	4	right	1	hidden	+	4	1373	12:25:21
1	5	right	2	hidden	+	5	883	12:25:34
1	6	right	2	hidden	+	6	981	12:25:47
1	7	right	1	hidden	+	7	865	12:25:59
1	8	right	4	hidden	+	8	823	12:26:11
1	9	right	4	hidden	+	9	987	12:26:24
1	10	right	1	hidden	+	10	904	12:26:37
1	11	right	4	hidden	+	11	882	12:26:51
1	12	right	1	hidden	+	12	1308	12:27:04
1	13	right	2	hidden	+	13	1309	12:27:17
1	14	right	2	hidden	+	14	817	12:27:28
1	15	right	4	hidden	+	15	1427	12:27:41
1	16	right	1	hidden	+	16	930	12:27:52
1	17	right	2	hidden	+	17	746	12:28:03
1	18	right	4	hidden	+	18	1323	12:28:16
1	19	right	2	hidden	+	19	1367	12:28:27
1	20	right	2	hidden	+	20	1153	12:28:41
1	21	right	4	hidden	+	21	1489	12:28:54
1	22	right	4	hidden	+	22	1340	12:29:07
1	23	right	1	hidden	+	23	1203	12:29:20
1	24	Final check: +
1	24	right	1	hidden	n	24	1359	12:29:31
2	1	right	4	visible	n	25	430	12:30:08
2	2	right	4	visible	+	26	724	12:30:17
2	3	right	4	visible	+	27	985	12:30:26
2	4	right	2	visible	+	28	910	12:30:34
2	5	right	4	visible	+	29	747	12:30:42
2	6	right	4	visible	+	30	816	12:30:52
2	7	right	2	visible	+	31	867	12:31:02
2	8	right	2	visible	+	32	840	12:31:11
2	9	right	4	visible	+	33	820	12:31:20
2	10	right	2	visible	+	34	823	12:31:29
2	11	right	1	visible	+	35	780	12:31:38
2	12	right	1	visible	+	36	611	12:31:48
2	13	right	4	visible	+	37	732	12:31:57
2	14	right	2	visible	+	38	744	12:32:06
2	15	right	2	visible	+	39	796	12:32:14
2	16	right	2	visible	+	40	810	12:32:23
2	17	right	1	visible	+	41	696	12:32:33
2	18	right	1	visible	+	42	672	12:32:42
2	19	right	2	visible	+	43	667	12:32:51
2	20	right	1	visible	+	44	718	12:32:59
2	21	right	1	visible	+	45	740	12:33:08
2	22	right	1	visible	+	46	562	12:33:17
2	23	right	4	visible	+	47	492	12:33:27
2	24	Final check: +
2	24	right	1	visible	n	48	761	12:33:36
3	1	left	2	visible	n	49	711	12:39:27
3	2	left	4	visible	+	50	659	12:39:39
3	3	left	4	visible	+	51	815	12:39:51
3	4	left	4	visible	+	52	730	12:40:00
3	5	left	1	visible	+	53	799	12:40:10
3	6	left	2	visible	+	54	652	12:40:22
3	7	left	4	visible	+	55	766	12:40:33
3	8	left	1	visible	+	56	864	12:40:43
3	9	left	2	visible	+	57	799	12:40:54
3	10	left	1	visible	+	58	854	12:41:06
3	11	left	2	visible	+	59	778	12:41:16
3	12	left	2	visible	+	60	661	12:41:27
3	13	left	2	visible	+	61	1058	12:41:36
3	14	left	1	visible	+	62	702	12:41:47
3	15	left	4	visible	+	63	683	12:41:58
3	16	left	4	visible	+	64	703	12:42:09
3	17	left	1	visible	+	65	1041	12:42:19
3	18	left	2	visible	+	66	777	12:42:30
3	19	left	1	visible	+	67	741	12:42:41
3	20	left	4	visible	+	68	690	12:42:52
3	21	left	2	visible	+	69	1095	12:43:03
3	22	left	4	visible	+	70	675	12:43:14
3	23	left	1	visible	+	71	975	12:43:24
3	24	Final check: +
3	24	left	1	visible	n	72	1075	12:43:34
4	1	left	2	hidden	n	73	758	12:44:09
4	2	left	4	hidden	+	74	850	12:44:21
4	3	left	4	hidden	+	75	1028	12:44:34
4	4	left	4	hidden	+	76	900	12:44:46
4	5	left	1	hidden	+	77	680	12:44:59
4	6	left	4	hidden	+	78	861	12:45:13
4	7	left	2	hidden	+	79	912	12:45:25
4	8	left	2	hidden	+	80	840	12:45:36
4	9	left	2	hidden	+	81	827	12:45:47
4	10	left	4	hidden	+	82	894	12:45:59
4	11	left	4	hidden	+	83	1228	12:46:11
4	12	left	4	hidden	+	84	985	12:46:22
4	13	left	1	hidden	+	85	1035	12:46:34
4	14	left	2	hidden	+	86	898	12:46:52
4	15	left	4	hidden	+	87	1154	12:47:04
4	16	left	1	hidden	+	88	788	12:47:16
4	17	left	1	hidden	+	89	741	12:47:30
4	18	left	1	hidden	+	90	1038	12:47:44
4	19	left	2	hidden	+	91	968	12:47:57
4	20	left	1	hidden	+	92	801	12:48:08
4	21	left	1	hidden	+	93	899	12:48:21
4	22	left	2	hidden	+	94	947	12:48:34
4	23	left	2	hidden	+	95	1086	12:48:44
4	24	Final check: +
4	24	left	1	hidden	n	96	1318	12:48:57
