Subject ID: 03_39
Date and time: 12/09/2014 10:03:10

Block	Trial	Hand	Cube	Vis	Conf	Pulse	RT	Time
1	1	left	4	visible	n	1	828	10:04:16
1	2	left	2	visible	+	2	885	10:04:26
1	3	left	4	visible	+	3	842	10:04:36
1	4	left	4	visible	+	4	681	10:04:46
1	5	left	2	visible	+	5	675	10:04:54
1	6	left	1	visible	+	6	646	10:05:04
1	7	left	1	visible	+	7	584	10:05:13
1	8	left	4	visible	+	8	474	10:05:23
1	9	left	2	visible	+	9	562	10:05:35
1	10	left	4	visible	+	10	560	10:05:45
1	11	left	1	visible	+	11	500	10:05:55
1	12	left	2	visible	+	12	587	10:06:03
1	13	left	2	visible	+	13	544	10:06:13
1	14	left	4	visible	+	14	511	10:06:23
1	15	left	1	visible	+	15	539	10:06:32
1	16	left	2	visible	+	16	523	10:06:40
1	17	left	4	visible	+	17	511	10:06:49
1	18	left	1	visible	+	18	549	10:06:58
1	19	left	1	visible	+	19	541	10:07:07
1	20	left	1	visible	+	20	483	10:07:16
1	21	left	2	visible	+	21	577	10:07:25
1	22	left	4	visible	+	22	458	10:07:34
1	23	left	2	visible	+	23	466	10:07:42
1	24	Final check: +
1	24	left	1	visible	n	Lifted hand (load)
1	24	left	1	visible	n	Lifted hand (load)
1	24	left	1	visible	n	Lifted hand (load)
1	24	left	1	visible	n	Lifted hand (load)
1	24	left	1	visible	n	24	736	10:07:57
2	1	left	4	hidden	n	25	56	10:08:37
2	2	left	1	hidden	+	Lifted hand (load)
2	2	left	1	hidden	n	26	651	10:08:55
2	3	left	2	hidden	+	Lifted hand (load)
2	3	left	2	hidden	n	Lifted hand (load)
2	3	left	2	hidden	n	Lifted hand (load)
2	3	left	2	hidden	n	Lifted hand (load)
2	3	left	2	hidden	n	27	724	10:09:23
2	4	left	4	hidden	-	28	5679	10:09:42
2	5	left	2	hidden	Lifted hand (check)
2	5	left	2	hidden	n	Lifted hand (load)
2	5	left	2	hidden	n	Lifted hand (load)
2	5	left	2	hidden	n	29	545	10:10:11
2	6	left	1	hidden	+	30	5516	10:10:30
2	7	left	4	hidden	+	31	635	10:10:43
2	8	left	1	hidden	+	Lifted hand (load)
2	8	left	1	hidden	n	Lifted hand (load)
2	8	left	1	hidden	n	32	789	10:11:03
2	9	left	2	hidden	+	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	Lifted hand (load)
2	9	left	2	hidden	n	33	1232	10:13:19
2	10	left	2	hidden	+	34	762	10:13:33
2	11	left	4	hidden	+	35	721	10:13:51
2	12	left	2	hidden	+	Lifted hand (load)
2	12	left	2	hidden	n	Lifted hand (load)
2	12	left	2	hidden	n	Lifted hand (load)
2	12	left	2	hidden	n	36	699	10:14:18
2	13	left	2	hidden	-	37	1106	10:14:32
2	14	left	1	hidden	+	Lifted hand (load)
2	14	left	1	hidden	n	Lifted hand (load)
2	14	left	1	hidden	n	38	709	10:15:05
2	15	left	4	hidden	+	Lifted hand (load)
2	15	left	4	hidden	n	39	654	10:15:44
2	16	left	2	hidden	+	Lifted hand (load)
2	16	left	2	hidden	n	40	580	10:15:56
2	17	left	1	hidden	+	41	7527	10:16:16
2	18	left	4	hidden	Lifted hand (check)
2	18	left	4	hidden	n	Lifted hand (load)
2	18	left	4	hidden	n	42	819	10:16:43
2	19	left	1	hidden	+	43	6819	10:17:01
2	20	left	2	hidden	Lifted hand (check)
2	20	left	2	hidden	n	Lifted hand (load)
2	20	left	2	hidden	n	Lifted hand (load)
2	20	left	2	hidden	n	Lifted hand (load)
2	20	left	2	hidden	n	44	739	10:17:28
2	21	left	1	hidden	+	Lifted hand (load)
2	21	left	1	hidden	n	Lifted hand (load)
2	21	left	1	hidden	n	Lifted hand (load)
2	21	left	1	hidden	n	Lifted hand (load)
2	21	left	1	hidden	n	Lifted hand (load)
2	21	left	1	hidden	n	45	740	10:17:59
2	22	left	4	hidden	+	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	Lifted hand (load)
2	22	left	4	hidden	n	46	574	10:19:01
2	23	left	4	hidden	+	47	6159	10:19:19
2	24	left	1	hidden	-	48	760	10:19:30
2	25	left	4	hidden	-	49	8024	10:19:52
2	26	left	2	hidden	-	50	634	10:20:16
2	27	left	2	hidden	+	51	6085	10:20:36
2	28	left	4	hidden	-	52	704	10:20:47
2	29	left	2	hidden	+	53	857	10:21:00
2	30	left	1	hidden	+	54	6239	10:21:21
2	31	left	4	hidden	-	Lifted hand (load)
2	31	left	4	hidden	n	Lifted hand (load)
2	31	left	4	hidden	n	Lifted hand (load)
2	31	left	4	hidden	n	Lifted hand (load)
2	31	left	4	hidden	n	Lifted hand (load)
2	31	left	4	hidden	n	Lifted hand (load)
2	31	left	4	hidden	n	55	4970	10:21:40
2	32	left	2	hidden	-	56	694	10:21:55
2	33	left	4	hidden	+	57	604	10:22:08
2	34	left	4	hidden	-	Lifted hand (load)
2	34	left	4	hidden	n	Lifted hand (load)
2	34	left	4	hidden	n	Lifted hand (load)
2	34	left	4	hidden	n	58	677	10:23:05
2	35	left	2	hidden	+	Lifted hand (load)
2	35	left	2	hidden	n	Lifted hand (load)
2	35	left	2	hidden	n	59	921	10:23:30
2	36	Final check: +
2	36	left	4	hidden	n	60	698	10:23:44
3	1	right	1	hidden	n	Lifted hand (view)
3	1	right	1	hidden	n	61	829	10:35:05
3	2	right	2	hidden	-	62	640	10:35:36
3	3	right	4	hidden	+	63	565	10:35:56
3	4	right	4	hidden	+	64	480	10:36:14
3	5	right	4	hidden	+	65	506	10:36:25
3	6	right	2	hidden	+	66	674	10:36:39
3	7	right	2	hidden	+	67	501	10:36:51
3	8	right	1	hidden	+	68	669	10:37:00
3	9	right	4	hidden	+	69	795	10:37:11
3	10	right	1	hidden	+	70	687	10:37:21
3	11	right	4	hidden	+	71	616	10:37:33
3	12	right	2	hidden	+	72	672	10:37:43
3	13	right	1	hidden	+	73	633	10:37:54
3	14	right	2	hidden	+	74	482	10:38:05
3	15	right	2	hidden	+	75	526	10:38:15
3	16	right	1	hidden	+	76	522	10:38:25
3	17	right	4	hidden	+	77	490	10:38:39
3	18	right	1	hidden	+	78	501	10:38:50
3	19	right	2	hidden	+	79	540	10:39:02
3	20	right	1	hidden	-	80	518	10:39:12
3	21	right	1	hidden	+	81	550	10:39:22
3	22	right	4	hidden	+	82	Lifted wrong hand (movement )
3	22	right	4	hidden	n	83	609	10:39:46
3	23	right	2	hidden	+	84	519	10:39:56
3	24	right	4	hidden	+	85	805	10:40:07
3	25	right	2	hidden	+	86	427	10:40:16
3	26	Final check: +
3	26	right	1	hidden	n	87	413	10:40:28
4	1	right	1	visible	n	88	527	10:41:12
4	2	right	2	visible	+	89	474	10:41:21
4	3	right	2	visible	+	90	556	10:41:29
4	4	right	4	visible	+	91	571	10:41:38
4	5	right	4	visible	+	92	587	10:41:45
4	6	right	2	visible	+	93	515	10:41:53
4	7	right	2	visible	+	94	445	10:42:01
4	8	right	2	visible	+	95	440	10:42:08
4	9	right	1	visible	+	96	466	10:42:15
4	10	right	4	visible	+	97	387	10:42:23
4	11	right	2	visible	+	98	474	10:42:31
4	12	right	2	visible	+	99	439	10:42:38
4	13	right	4	visible	+	100	412	10:42:44
4	14	right	4	visible	+	101	436	10:42:52
4	15	right	1	visible	+	102	516	10:43:00
4	16	right	1	visible	+	103	619	10:43:07
4	17	right	1	visible	+	104	414	10:43:14
4	18	right	1	visible	+	105	494	10:43:23
4	19	right	4	visible	+	106	448	10:43:31
4	20	right	4	visible	+	107	486	10:43:38
4	21	right	1	visible	+	108	429	10:43:46
4	22	right	2	visible	+	109	434	10:43:53
4	23	right	1	visible	+	110	410	10:44:01
4	24	Final check: +
4	24	right	4	visible	n	111	418	10:44:07
