Subject ID: 03_20
Date and time: 12/10/2013 16:25:25

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	1	visible	1	564	16:28:21
1	2	right	2	visible	2	835	16:28:32
1	3	right	4	visible	3	869	16:28:47
1	4	right	1	visible	4	695	16:28:56
1	5	right	1	visible	5	581	16:29:08
1	6	right	2	visible	6	600	16:29:17
1	7	right	4	visible	7	626	16:29:25
1	8	right	2	visible	8	775	16:29:34
1	9	right	1	visible	9	535	16:29:42
1	10	right	2	visible	10	518	16:29:51
1	11	right	1	visible	11	372	16:29:59
1	12	right	4	visible	12	567	16:30:08
1	13	right	4	visible	13	430	16:30:16
1	14	right	4	visible	14	449	16:30:24
1	15	right	1	visible	15	625	16:30:32
1	16	right	4	visible	16	630	16:30:43
1	17	right	2	visible	17	536	16:30:54
1	18	right	2	visible	18	733	16:31:03
1	19	right	4	visible	19	501	16:31:13
1	20	right	2	visible	20	455	16:31:22
1	21	right	2	visible	21	591	16:31:30
1	22	right	1	visible	22	647	16:31:38
1	23	right	4	visible	23	580	16:31:47
1	24	right	1	visible	24	409	16:31:55
2	1	right	4	hidden	25	1347	16:34:28
2	2	right	4	hidden	26	489	16:34:40
2	3	right	1	hidden	27	686	16:34:50
2	4	right	1	hidden	28	619	16:35:01
2	5	right	1	hidden	29	543	16:35:11
2	6	right	2	hidden	30	536	16:35:23
2	7	right	1	hidden	31	446	16:35:35
2	8	right	2	hidden	32	650	16:35:45
2	9	right	1	hidden	33	738	16:35:54
2	10	right	2	hidden	34	609	16:36:05
2	11	right	1	hidden	35	470	16:36:15
2	12	right	2	hidden	Lifted hand (load)
2	12	right	2	hidden	Lifted hand (load)
2	12	right	2	hidden	36	478	16:36:44
2	13	right	4	hidden	37	577	16:36:53
2	14	right	2	hidden	38	513	16:37:02
2	15	right	1	hidden	39	527	16:37:11
2	16	right	2	hidden	40	544	16:37:22
2	17	right	4	hidden	41	659	16:37:31
2	18	right	4	hidden	42	627	16:37:40
2	19	right	4	hidden	43	603	16:37:50
2	20	right	4	hidden	44	600	16:37:59
2	21	right	2	hidden	45	413	16:38:08
2	22	right	1	hidden	46	601	16:38:19
2	23	right	4	hidden	47	664	16:38:29
2	24	right	2	hidden	48	581	16:38:38
3	1	left	1	visible	Lifted hand (load)
3	1	left	1	visible	Lifted hand (load)
3	1	left	1	visible	Lifted hand (load)
3	1	left	1	visible	49	639	16:47:11
3	2	left	1	visible	50	597	16:47:21
3	3	left	2	visible	51	595	16:47:31
3	4	left	4	visible	52	359	16:47:40
3	5	left	1	visible	53	451	16:47:49
3	6	left	1	visible	54	493	16:47:57
3	7	left	2	visible	55	541	16:48:10
3	8	left	2	visible	56	449	16:48:18
3	9	left	2	visible	57	452	16:48:26
3	10	left	4	visible	58	392	16:48:34
3	11	left	1	visible	59	411	16:48:43
3	12	left	1	visible	60	823	16:48:55
3	13	left	4	visible	61	484	16:49:09
3	14	left	4	visible	62	550	16:49:19
3	15	left	4	visible	63	549	16:49:27
3	16	left	2	visible	64	354	16:49:40
3	17	left	4	visible	65	366	16:49:48
3	18	left	1	visible	66	391	16:49:56
3	19	left	2	visible	67	466	16:50:04
3	20	left	4	visible	68	317	16:50:12
3	21	left	1	visible	69	547	16:50:20
3	22	left	2	visible	70	497	16:50:29
3	23	left	2	visible	71	562	16:50:37
3	24	left	4	visible	72	518	16:50:45
4	1	left	1	hidden	73	493	16:51:36
4	2	left	1	hidden	74	352	16:51:48
4	3	left	2	hidden	75	523	16:52:00
4	4	left	1	hidden	76	693	16:52:10
4	5	left	4	hidden	77	743	16:52:20
4	6	left	2	hidden	Lifted hand (load)
4	6	left	2	hidden	78	665	16:52:39
4	7	left	2	hidden	79	627	16:52:50
4	8	left	4	hidden	80	523	16:52:59
4	9	left	2	hidden	81	595	16:53:09
4	10	left	4	hidden	82	468	16:53:19
4	11	left	4	hidden	83	517	16:53:29
4	12	left	4	hidden	84	541	16:53:40
4	13	left	1	hidden	85	506	16:53:51
4	14	left	1	hidden	86	462	16:54:01
4	15	left	4	hidden	87	456	16:54:11
4	16	left	2	hidden	88	422	16:54:22
4	17	left	4	hidden	89	491	16:54:32
4	18	left	1	hidden	90	401	16:54:42
4	19	left	2	hidden	91	473	16:54:53
4	20	left	2	hidden	92	467	16:55:03
4	21	left	4	hidden	93	473	16:55:13
4	22	left	2	hidden	94	450	16:55:23
4	23	left	1	hidden	95	607	16:55:34
4	24	left	1	hidden	96	481	16:55:45
